Gender,Sim,id,condition,liking1,liking2,liking3,liking4,pa1,pa2,na1,na2,MAT,MAT,AFF,AFF,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,ics,HUM1,HUM2,HUM3,MV1,MV2,MV3,MV4,MV5,MV6,age,pop,pop,ideal
1,1,1,1,4,5,5,4,5,4,2,2,5,4,6,6,1,1,1,4,1,1,1,1,1,1,1,1,5,5,5,4,5,5,6,6,3,27,3,2,5
0,1,2,0,7,7,7,7,7,7,1,1,7,7,7,7,1,1,1,1,1,1,1,1,1,5,3,1,3,2,2,5,5,5,6,6,6,47,7,1,6
1,1,3,1,1,1,1,1,1,1,7,6,7,7,1,1,5,7,7,7,7,4,5,3,7,6,5,4,6,6,6,2,3,2,2,2,2,30,2,2,2
0,1,4,1,2,1,1,1,2,2,5,5,6,6,1,2,4,4,4,5,4,4,3,3,4,5,4,1,5,5,6,6,5,5,4,5,4,44,4,6,2
0,1,5,1,6,6,6,6,6,6,1,1,6,6,4,4,1,1,1,4,1,1,1,1,1,1,1,1,6,6,4,5,5,2,4,5,5,42,7,7,1
0,1,6,1,4,5,5,5,4,4,4,4,5,3,4,4,4,3,4,5,4,3,4,2,5,5,5,4,5,5,5,4,5,4,5,5,3,35,5,5,6
1,1,7,1,5,6,6,6,5,5,2,2,6,6,5,4,3,3,2,4,5,1,1,1,6,3,2,1,5,5,5,2,2,2,2,3,2,44,5,2,2
0,1,8,0,5,6,6,5,6,6,3,3,4,4,6,3,3,3,2,6,2,4,3,2,5,5,6,4,6,6,7,5,5,4,4,5,5,21,5,4,4
1,1,9,1,2,5,4,4,1,1,7,7,7,7,1,3,7,7,7,7,4,7,7,4,7,7,7,4,6,5,6,4,4,4,1,4,1,31,6,7,1
0,1,10,1,4,3,6,4,3,3,4,6,7,6,3,4,5,5,6,5,2,4,6,2,6,6,6,4,5,5,5,4,3,3,2,3,2,35,2,2,4
0,1,11,1,1,7,4,4,1,1,7,7,7,7,1,1,4,4,4,7,1,7,7,1,7,7,7,7,2,1,1,3,2,2,1,5,1,29,7,4,5
1,1,12,1,6,6,6,5,7,7,1,1,7,7,7,7,1,1,1,4,1,1,1,1,4,4,1,1,7,7,7,7,7,7,7,7,7,29,4,1,4
0,1,13,1,4,4,4,4,3,3,5,4,5,4,2,2,2,2,2,4,3,3,2,2,4,6,5,4,4,4,4,4,4,3,1,3,3,38,2,3,3
0,1,14,0,7,7,7,7,7,7,1,1,7,1,7,7,1,1,1,1,1,1,1,1,6,7,5,1,3,4,4,2,1,1,1,1,6,34,7,5,2
0,1,15,0,5,6,4,5,5,6,1,1,6,7,1,1,1,2,2,7,1,4,2,1,6,1,7,5,5,6,6,7,7,7,7,7,7,23,1,1,7
0,1,16,0,6,7,7,7,6,6,1,1,7,7,5,5,1,1,1,4,1,1,1,1,2,2,1,1,5,5,6,6,6,4,5,5,5,41,4,1,5
1,1,17,1,4,5,4,4,5,5,3,3,4,6,4,4,2,2,5,4,6,2,5,3,3,3,3,4,5,6,5,7,7,7,7,7,7,33,5,3,3
0,1,18,1,2,3,6,2,6,3,7,2,2,3,4,1,2,7,4,7,5,6,3,1,1,2,6,4,1,5,6,5,6,6,1,1,2,39,4,4,4
0,1,19,1,5,5,5,4,4,5,3,5,5,5,3,3,2,3,3,3,3,4,3,3,4,5,5,4,4,4,4,1,1,1,2,4,4,27,3,3,2
0,1,20,1,1,1,4,1,1,1,7,7,6,7,6,7,4,1,6,4,1,1,4,1,5,5,4,2,6,5,5,2,1,1,1,2,1,30,3,2,2
0,1,21,0,6,6,6,6,6,6,1,1,7,6,5,5,2,2,2,4,2,2,2,2,2,4,4,2,6,6,6,6,6,6,5,5,4,35,5,2,4
0,1,22,1,1,1,1,1,1,1,7,7,7,7,1,7,1,1,1,7,1,1,1,1,7,1,1,1,7,7,7,1,1,1,1,1,1,44,3,5,2
0,1,23,0,4,6,5,5,5,5,1,1,6,7,4,5,5,6,5,4,1,5,5,1,7,6,7,5,7,7,7,1,1,1,1,1,1,48,2,2,3
0,1,24,1,3,4,4,4,3,2,3,4,7,7,1,1,4,6,4,6,4,3,4,4,6,7,6,4,6,5,6,7,7,7,7,7,6,45,6,5,3
0,1,25,1,7,5,2,4,4,3,3,2,5,6,6,5,3,6,7,6,2,1,5,3,7,6,5,5,6,7,6,5,6,5,1,6,3,23,6,2,5
1,1,26,0,5,6,5,5,5,5,2,2,7,7,7,7,3,5,5,6,4,2,5,4,6,5,3,5,6,5,5,6,6,6,3,6,6,38,3,5,2
0,1,27,0,7,6,7,7,6,7,6,6,6,5,3,3,7,5,7,6,5,7,7,7,6,7,6,6,7,5,7,6,7,7,5,6,6,38,6,6,1
0,1,28,1,4,3,5,4,3,3,5,5,7,7,1,5,3,4,2,5,1,2,1,1,5,4,4,3,6,6,6,4,4,4,1,4,3,32,3,4,2
1,1,29,0,6,6,6,6,6,7,1,1,4,2,7,7,1,1,5,3,1,1,5,1,1,1,1,1,5,5,5,3,2,2,4,4,3,39,1,1,2
1,1,30,1,4,4,4,4,4,4,4,4,7,1,1,1,5,6,5,7,7,4,5,7,4,7,4,5,3,3,3,5,6,6,4,5,1,43,3,1,3
1,1,31,0,5,6,6,6,6,6,1,1,4,4,5,5,1,4,1,3,2,4,3,2,2,4,3,2,4,4,4,5,5,5,6,6,4,31,4,3,4
0,1,32,0,5,5,5,5,5,5,3,1,5,5,3,3,4,5,4,5,4,5,5,2,5,5,5,5,6,6,6,3,3,3,3,4,2,40,3,2,2
1,1,33,1,5,5,5,5,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7,6,2,6,6,6,25,1,1,2
1,1,34,1,5,6,5,6,5,5,2,1,2,5,7,4,1,1,1,1,1,1,1,1,2,2,1,1,6,6,5,2,2,3,1,2,2,23,3,2,2
1,1,35,1,2,2,2,2,1,1,7,7,6,6,1,1,2,4,4,5,3,4,3,3,2,5,4,5,4,3,5,5,4,5,3,4,2,46,6,5,3
0,1,36,0,3,3,4,4,4,4,6,6,4,4,5,1,1,1,1,4,1,1,1,1,4,4,3,4,5,7,6,6,6,6,7,6,6,32,1,6,2
1,1,37,0,7,7,7,7,7,7,1,1,1,1,1,7,5,1,1,2,1,1,1,1,3,1,1,3,3,5,4,7,7,7,1,7,6,42,1,4,4
0,1,38,1,3,3,3,3,4,4,4,4,2,4,1,4,1,1,1,1,1,1,1,1,3,4,2,2,5,5,5,6,4,4,1,3,1,27,2,3,3
1,1,39,0,4,5,6,6,5,5,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,2,2,2,2,2,32,1,1,4
1,1,40,0,5,5,5,6,6,6,2,2,5,1,1,1,2,5,4,1,2,2,2,6,3,5,2,1,6,4,4,6,6,5,1,5,2,40,5,1,5
1,1,41,1,6,6,6,6,6,6,2,2,7,7,5,5,3,6,3,4,5,3,3,1,5,4,4,5,5,5,5,6,6,6,4,6,6,42,5,3,1
1,1,42,1,4,4,4,4,1,1,5,4,3,3,4,4,4,4,1,5,1,1,1,1,1,1,1,1,4,4,4,5,4,4,1,4,1,48,1,1,1
1,1,43,1,6,6,6,7,5,5,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,6,7,4,2,1,1,6,5,4,40,3,2,1
0,1,44,1,4,5,5,5,4,4,5,5,5,4,2,2,3,5,2,6,2,2,1,1,4,5,5,4,5,4,5,6,5,5,3,6,5,19,6,3,5
1,1,45,0,6,6,6,6,7,7,1,1,2,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,6,7,7,7,7,7,32,4,1,2
0,1,46,0,4,4,4,4,4,4,1,1,1,1,4,4,1,7,7,7,1,1,7,1,7,7,7,7,7,7,7,7,7,1,1,7,4,27,1,4,1
