Duration (in seconds),AGE_1,SWLS1,SWLS2,SWLS3,SWLS4,GENDER,Condition,Sim,Liking1,Liking2,Liking3,Happy,Unhappy,Irritated,Anxious,Delighted,Enjoy,SE1,SE2,ST,Social 1,Process 1,Social 2,Process 2,E1,A1,C1,N1,O1,E2,A2,C2,N2,O2,E3,A3,C3,N3,O3,E4,A4,C4,N4,O4,E5,A5,C5,N5,O5,E6,A6,C6,N6,O6,E7,A7,C7,N7,C7,E8,A8,C8,N8,O8,O9,E9,C9,O10,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,Tight1,Tight2,Tight3,Tight4,Tight5,Tight6,VI1,VI2,VI3,VI4,VI5,VI6,VI7,VI8,VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8,HI1,HI2,HI3,HI4,HI5,HI6,HI7,HC1,HC2,HC3,HC4,HC5,HC6,Sexual Orientation,Relationship Status
1056,22,5,7,6,6,1,0,1,3,5,4,4,3,5,5,5,4,6,6,,7,3,7,4,6,6,6,4,7,6,6,4,6,2,5,7,6,5,6,6,5,7,3,6,2,6,3,3,6,5,7,6,5,7,5,5,7,2,7,7,6,6,4,5,5,7,2,4,7,7,7,4,2,6,7,7,7,4,3,7,7,7,4,5,6,5,6,4,5,5,7,7,4,3,3,4,3,5,4,1,2,6,6,5,5,5,6,7,5,5,5,5,5,5,1,2
2240,26,6,6,7,6,2,1,1,7,6,6,6,1,6,1,7,6,5,6,,7,7,7,6,2,1,6,1,5,3,7,3,7,2,5,7,7,6,5,5,7,4,5,5,5,7,7,3,5,6,6,7,1,5,5,7,6,1,7,6,7,7,1,7,3,5,1,5,1,1,1,1,7,1,5,5,5,6,7,5,5,5,2,4,6,1,5,1,5,1,7,2,2,7,6,7,7,7,6,5,3,4,2,6,6,7,4,4,6,6,6,6,6,6,4,2
1057,19,3,4,5,3,1,1,1,3,3,3,3,4,5,5,3,3,4,5,,5,6,5,7,5,2,5,5,4,3,4,4,2,3,3,4,5,5,5,3,4,5,5,4,3,2,3,4,4,5,3,5,5,5,5,3,5,5,5,4,5,5,5,5,3,3,3,3,5,3,5,3,5,3,5,5,5,3,4,4,5,5,4,5,5,3,5,5,3,4,5,1,5,3,3,4,3,5,5,5,3,4,3,5,5,4,3,2,5,5,5,5,5,5,4,2
977,21,3,3,4,4,1,1,1,2,4,4,3,3,3,3,4,3,3,4,,3,6,4,6,4,5,6,5,5,3,6,7,1,3,3,7,6,7,6,4,5,7,7,6,4,3,7,4,5,5,5,6,5,6,5,4,6,4,7,4,7,7,7,7,7,4,3,5,1,4,3,1,7,1,5,4,4,4,7,4,5,6,4,5,6,1,4,3,4,1,1,2,3,4,2,3,3,4,2,1,6,2,4,5,6,6,6,6,2,2,2,2,2,2,1,1
2546,20,4,5,5,3,1,0,1,6,7,7,5,1,1,1,7,6,5,5,,5,6,5,5,6,2,5,2,5,4,6,4,5,1,5,4,5,6,5,5,6,4,4,4,1,5,5,6,4,6,7,4,6,6,3,6,4,4,5,7,5,5,5,6,5,6,4,5,5,4,5,5,3,4,6,5,4,5,3,6,4,6,3,6,7,2,5,5,5,1,5,4,6,5,5,4,5,6,5,4,5,2,4,5,3,4,3,5,6,6,6,6,6,6,1,1
1895,25,5,5,5,2,2,0,1,5,5,6,5,2,2,2,6,5,7,6,,5,6,5,6,5,3,5,3,5,6,5,4,4,2,5,7,7,4,6,5,7,5,6,5,3,4,6,3,5,5,5,5,3,5,4,6,5,2,5,6,5,5,5,6,7,5,3,5,1,3,5,1,7,1,7,5,5,4,5,6,4,5,4,5,5,1,5,2,4,2,4,3,2,3,3,4,1,5,3,2,3,6,5,7,6,6,5,6,5,5,5,5,5,5,1,2
2657,25,5,5,5,7,1,0,1,6,7,5,5,1,1,1,6,6,7,6,,3,7,3,7,3,2,5,5,5,1,7,5,5,2,3,6,5,6,5,4,5,4,6,4,4,5,3,3,4,5,5,5,3,4,6,6,5,3,6,2,6,6,5,6,5,5,5,4,2,6,5,2,5,3,5,6,4,6,5,7,6,6,6,5,6,3,5,5,4,2,6,5,2,3,3,5,2,5,5,1,2,5,3,5,6,4,5,4,5,5,5,5,5,5,1,2
1094,20,5,3,6,7,1,0,1,3,5,6,4,4,2,5,5,3,7,7,,5,7,6,7,6,6,6,3,6,6,7,6,5,3,7,6,6,5,6,5,7,4,3,5,2,6,3,2,5,6,2,6,2,5,6,7,5,2,4,7,4,3,2,5,5,5,5,3,2,5,6,5,2,5,6,4,3,3,1,6,6,6,3,7,6,5,7,6,7,5,6,3,5,6,6,4,5,6,4,6,5,3,5,7,6,5,5,6,5,5,5,5,5,5,1,2
3244,20,6,7,6,7,1,1,1,2,2,5,2,3,3,6,5,3,6,5,,6,5,6,5,5,2,6,5,5,3,6,3,5,1,3,7,7,5,6,5,7,3,5,5,3,5,5,5,5,3,5,5,6,3,5,7,2,5,6,5,5,5,5,7,6,3,6,5,2,2,2,2,5,3,6,5,3,3,4,5,3,5,3,5,5,3,5,5,4,1,3,2,3,3,5,2,2,5,3,3,3,5,5,7,7,6,5,3,5,5,5,5,5,5,1,2
1054,23,3,3,4,2,1,0,1,4,5,3,3,4,2,1,3,3,4,3,,5,6,5,7,5,4,6,5,5,1,5,5,4,3,2,7,5,6,5,4,3,6,6,5,4,3,4,4,4,5,5,6,3,5,5,5,5,5,2,3,6,6,5,6,7,4,2,5,3,5,5,3,5,3,6,7,6,6,4,5,3,3,5,5,3,2,3,4,3,1,5,1,1,3,4,2,3,4,2,2,4,4,6,6,6,6,5,5,5,5,5,5,5,5,1,1
